language,date,century,language_family,region,terminal_speaker,notes
Pazeh,24 October 2010,21st,Austronesian,Taiwan,Pan Jin-yu[31],
Cochin Indo-Portuguese Creole,20 August 2010,21st,Portuguese-based Creole,Southern India,William Rozario[31],
Aka-Bo,26 January 2010,21st,Andamanese,"Andaman Islands, India",Boa Sr.[32],
Aka-Kora,November 2009,21st,Andamanese,"Andaman Islands, India",Ms. Boro[33],
Aka-Jeru,22 February 2009,21st,Andamanese,"Andaman Islands, India",Nao Jr.[34],
Nyawaygi,2009,21st,Pama-Nyungan,"Queensland, Australia",Willie Seaton[35],
Muruwari,by 2009,21st,Pama-Nyungan,"Queensland and New South Wales, Australia",,[36]
Agavotaguerra,by 2009,21st,Arawakan,Brazil,,[37]
Arikem,by 2009,21st,Tupian,Brazil,,[38]
Karipúna,by 2009,21st,Tupian,Brazil,,[39]
Pataxó Hã-Ha-Hãe,by 2009,21st,Macro-Jê,Brazil,,[40]
Aribwatsa,by 2009,21st,Malayo-Polynesian,Papua New Guinea,,[41]
Lelak,by 2009,21st,Malayo-Polynesian,"Sarawak, Malaysia",,[3]
Papora-Hoanya,by 2009,21st,Austronesian,Taiwan,,[42]
Warluwara,by 2009,21st,Pama-Nyungan,Australia,,
Tübatulabal,30 July 2008,21st,Uto-Aztecan,"California, United States",James Andreas,[43]
Dura,after April 2008,21st,Sino-Tibetan,Nepal,Soma Devi Dura[44],
Plains Apache,24 February 2008,21st,Na-Dene > Athabaskan,"Oklahoma, United States",Alfred Chalepah Jr.,
Eyak,21 January 2008,21st,Na-Dene,"Alaska, United States",Marie Smith Jones[45],
Ruga,Late 2000s,21st,Sino-Tibetan,East Garo Hills district,,Most people who identify themselves as Ruga speak Garo.
Northeastern Maidu,2007,21st,Maiduan,Central California,,Under process of revival
Gros Ventre,10 August 2007,21st,Algic > Algonquian,"Montana, United States",Theresa Lamebull[46][47],
Javindo,ca. 2007,21st,Dutch-based creole,"Java, Indonesia",,[48]
Hpun,by 2007,21st,Sino-Tibetan > Burmish,Myanmar,,[49]
Hoti,by 2007,21st,Austronesian > CEMP,"Seram, Indonesia",,
Wasco dialect of Upper Chinook,11 July 2006,21st,Chinookan,"Oregon, United States",Madeline Brunoe McInturff[50],
Zire,2006,21st,Malayo-Polynesian,New Caledonia,,NA
Ludza dialect of Estonian,2006,21st,Finnic,Latvia,Nikolājs Nikonovs[51],
Osage,3 November 2005,21st,Siouan,"Oklahoma, United States",Lucille Roubedeaux[52],
Berbice Creole Dutch,2005,21st,Dutch-based creole,Guyana,Bertha Bell[53],
Barrow Point,by 2005,21st,Pama-Nyungan,"Queensland, Australia",Urwunjin Roger Hart[54],
Nüshu script,20 September 2004,21st,unclassified,"Hunan, China",Yang Huanyi[55][56],
Duli,ca. 2004 (?),21st,Niger-Congo > Adamawa,Cameroon,,[57]
Akkala Sami,29 December 2003,21st,Uralic > Sami,"Kola Peninsula, Russia",Marja Sergina[58][59],
Wintu,22 November 2003,21st,Wintuan,"California, United States",Flora Jones[60],
Klamath-Modoc,14 September 2003,21st,Penutian,"Oregon, United States",Neva Eggsman[61][62],
Garig Ilgar,September 2003,21st,Pama-Nyungan,"Northern Territory, Australia",,[63]
Alngith,by 2003,21st,Pama-Nyungan,"Queensland, Australia",,
Areba,by 2003,21st,Pama-Nyungan,"Queensland, Australia",,[64]
Atampaya,by 2003,21st,Pama-Nyungan,"Queensland, Australia",,[65]
Umbindhamu,by 2003,21st,Pama-Nyungan,"Queensland, Australia",,[66]
Makolkol,by 2003,21st,Unclassified,"New Britain, Papua New Guinea",,possible Papuan language
Umotína,2003,21st,Macro-Jê,"Mato Grosso, Brazil",,
Serrano,4 November 2002,21st,Uto-Aztecan,"California, United States",Dorothy Ramon,A revitalization process is happening.
Unami,31 August 2002,21st,Algic > Algonquian,"Delaware, United States",Edward Thompson[67][notes 3],
Gaagudju,23 May 2002,21st,Arnhem Land languages,"Northern Territory, Australia",Big Bill Neidjie[68],
Rennellese Sign Language,c. 2001,21st,Unclassified,Solomon Islands,Kagobai,
Amanayé,by 2001,21st,Tupian,Brazil,,[69]
Chiapanec,ca. 2000,21st,Oto-Manguean,"Chiapas, Mexico",,NA
Castellano Abakay,ca. 2000,21st,Spanish-based creole,South Philippines,,Chavacano language group.
Mapia,ca. 2000,21st,Chuukic,"Mapia Atoll, Indonesia",,NA
Cholón,ca. 2000,21st,Hibito–Cholon,Huallaga River Valley,,
Lapachu,ca. 2000,21st,Arawakan,Apolobamba,,It is possible there are still a few very old speakers.
Poyanawa,ca. 2000,21st,Panoan,"Acre, Brazil",,12 speakers were reported in 1992.
Central Pomo,By 2000,21st,Pomoan (Hokan?),Northern California,,
Maku language of Auari,By 2000,21st,Unclassified,"Roraima, Brazil",Sinfrônio Magalhães (Kuluta),
Ayabadhu,20th-21st century (?),20th,Pama-Nyungan,"Queensland, Australia",NA,[70]
Aghu Tharnggala,20th-21st century (?),20th,Pama-Nyungan,"Queensland, Australia",NA,[70]
Adithinngithigh,20th-21st century (?),20th,Pama-Nyungan,"Queensland, Australia",NA,
Arritinngithigh,20th-21st century (?),20th,Pama-Nyungan,"Queensland, Australia",NA,
Gurnai,20th-21st century (?),20th,Pama-Nyungan,"Victoria, Australia",NA,now being revived[70]
Southern Kayapó,20th-21st century,20th,Macro-Jê,"Mato Grosso, Brazil",NA,Hypothesized to be the ancestor of Panará.
Nganyaywana,late 20th century (?),20th,Pama-Nyungan,Australia,NA,
Ngamini,late 20th century (?),20th,Pama-Nyungan,South Australia,NA,
Nila,late 20th century (?),20th,Austronesian,"Nila Island, Indonesia",NA,Speakers were relocated to Seram due to volcanic activity on Nila[71]
Serua,late 20th century (?),20th,Austronesian,"Mount Serua, Indonesia",NA,Speakers were relocated to Seram due to volcanic activity on Serua[71]
Newfoundland Irish,late 20th century,20th,Celtic,"Newfoundland, Canada",NA,[72]
Soyot-Tsaatan language,late 20th century,20th,Turkic,"Buryatia, Khövsgöl Province",NA,Partly revitalized
Saraveca,late 20th century,20th,Arawakan,Eastern lowlands Bolivia,NA,
Tepecano,From 1980 to 2000,20th,Uto-Aztecan,Central Mexico,NA,Last known speaker Lino de la Rosa was alive in 1980
Mesmes,ca. 2000,20th,Semitic,Ethiopia,NA,with the death of Abegaz[73][74]
Kamarian,ca. 2000,20th,Austronesian,"west Seram Island, Indonesia",NA,
Sowa,2000,20th,Malayo-Polynesian,"Pentecost Island, Vanuatu",NA,with the death of Maurice Tabi[75]
Munichi,late 1990s,20th,unclassified,"Loreto Region, Peru",NA,with the death of Victoria Huancho Icahuate
Nyulnyul,1999,20th,Pama-Nyungan,Australia,NA,with the death of Carmel Charles[76]
Ineseño,by 1999,20th,Chumashan,"California, United States",NA,[77]
Mlahsô,1998,20th,Semitic,Syria; Turkey,NA,with the death of Ibrahim Hanna[78]
Skepi Creole Dutch,by 1998,20th,Dutch-based creole,Guyana,NA,[79]
Aribwatsa,after or in 1997,20th,Lower Markham languages,"Morobe Province, Papua New Guinea",NA,Exact date of extinction is unknown although it's believed to be in 2000. Most descendants have switched to the Bukawa language.
Ngarnka,1997-98,20th,Pama-Nyungan,Australia,NA,
Sireniki Yupik,January 1997,20th,Eskimo–Aleut,"Chukotka Peninsula, Russia",NA,with the death of Valentina Wye[80]
Guazacapán,1997,20th,Xincan,"Santa Rosa, Guatemala",NA,
Jumaytepeque,1997,20th,Xincan,"By Volcán Jumaytepeque, Guatemala",NA,
Malaryan,ca. 1996 (?),20th,Dravidian,"Kerala and Tamil Nadu, India",NA,[81]
Iowa-Oto,16 December 1996,20th,Siouan,"Oklahoma and Kansas, United States",NA,with the death of Truman Washington Dailey[82]
Chiquimulilla,1996,20th,Xincan,"Chiquimulilla, Guatemala",NA,The last semi-speaker Julian de la Cruz died in 1996.
Katabaga,by 1996,20th,Malayo-Polynesian,Philippines,NA,[83]
Palumata,by 1996,20th,Austronesian,"Maluku, Indonesia",NA,[84]
Seru,before 1996,20th,Malayo-Polynesian,"Sarawak, Malaysia",NA,[85]
Kasabe,5 November 1995,20th,Niger–Congo,Cameroon,NA,with the death of Bogon[86]
Martuthunira,6 August 1995,20th,Pama-Nyungan,Western Australia,NA,with the death of Algy Paterson[87]
Northern Pomo,8 January 1995,20th,Pomoan (Hokan?),"California, United States",NA,with the death of Edna Campbell Guerrero
Luiseño language,16 May 1994,20th,Uto-Aztecan,Southern California,NA,"Extinct in 1994, with the death of Villiana Calac Hyde. A revitalization process is happening."
Sakhalin Ainu,30 April 1994,20th,Ainu languages,Japan,NA,with the death of Take Asai[88]
Eastern Abnaki,13 July 1993,20th,Algic > Algonquian,"Maine, United States",NA,with the death of Madeline Shay[89][90]
Andoa,1993,20th,Zaparoan,Peru,NA,[91]
Ubykh,7 October 1992,20th,Northwest Caucasian,"Balıkesir Province, Turkey",NA,with the death of Tevfik Esenç[92]
Roncalese (Erronkariko) dialect,23 February 1991,20th,Basque (language isolate),Spain,NA,with the death of Fidela Bernat[93]
Pánobo,1991,20th,Panoan,Peru,NA,[94]
Wappo,30 July 1990,20th,Yuki–Wappo,"California, United States",NA,with the death of Laura Fish Somersal[95]
Shasta,1990,20th,Shastan,"California, United States",NA,
Lumaete dialect of Kayeli,ca. 1990s,20th,Malayo-Polynesian,"central Maluku, Indonesia",NA,[96]
Taman variety of Sak,ca. 1990s,20th,Sino-Tibetan,Myanmar,NA,[97]
Unggumi,1990s,20th,Worrorra,Australia,NA,with the death of Morndi Munro[98]
Berti,1990s?,20th,Nilo-Saharan,"Dafur and Kordofan, Sudan",NA,
Kamassian,20 September 1989,20th,Uralic > Samoyedic,"Sayan Mountains, Soviet Union",NA,with the death of Klavdiya Plotnikova
Leliali dialect of Kayeli,March 1989,20th,Malayo-Polynesian,"central Maluku, Indonesia",NA,[96][99]
Hukumina,ca. 1989,20th,Austronesian,"Maluku, Indonesia",NA,[100]
Miami-Illinois,1989,20th,Algic > Algonquian,"along the Mississippi River, United States",NA,
Kungarakany,1989,20th,Gunwinyguan,"Northern Territory, Australia",NA,with the death of Madeline England[99][101]
Atsugewi,16 September 1988,20th,Palaihnihan,"California, United States",NA,with the death of Medie Webster[102]
ǁXegwi,1988,20th,Tuu,South Africa,NA,with the death of Jopi Mabinda[103]
Bidyara,ca. 1987,20th,Pama-Nyungan,"Queensland, Australia",NA,[104]
Laua,ca. 1987,20th,Trans-New Guinea,Papua New Guinea,NA,
Cupeño,4 February 1987,20th,Uto-Aztecan,"California, United States",NA,with the death of Roscinda Nolasquez[105]
Dyangadi,1987,20th,Pama-Nyungan,"New South Wales, Australia",NA,[106]
Negerhollands,1987,20th,Dutch-based creole,U.S. Virgin Islands,NA,with the death of Alice Stevens
Basa-Gumna,by 1987,20th,Niger-Congo > Benue-Congo,"Niger State/Plateau State, Nigeria",NA,[107]
Yugambal,by 1987,20th,Pama-Nyungan,"Queensland, Australia",NA,[108]
Bikya,ca. 1986,20th,Niger-Congo > Benue-Congo,Cameroon,NA,
Bishuo,ca. 1986,20th,Niger-Congo > Benue-Congo,Cameroon,NA,
"Jiwarli dialect, Mantharta",April 1986,20th,Pama-Nyungan,Australia,NA,with the death of Jack Butler[109]
Mangala,1986,20th,Pama-Nyungan,Western Australia,NA,[110]
Volow,1986,20th,Austronesian,Vanuatu,NA,with the death of Wanhan[111]
Cahuarano,late 1980s to early 1990s,20th,Zaparoan,Along the Nanay River in Peru.,NA,
"Deeside dialect, Scottish Gaelic",18 March 1984,20th,Celtic,Scotland,NA,with the death of Jean Bain[112]
Yavitero,1984,20th,Arawakan,Venezuela,NA,[99][113]
"Antrim dialect, Irish",February 1983,20th,Celtic,Ireland,NA,with the death of Séamus Bhriain Mac Amhlaig[114][115]
Yangman,ca. 1983,20th,Australian,"Northern Territory, Australia",NA,[116]
Kansa,June 1982,20th,Siouan,"Oklahoma, United States",NA,with the death of Ralph Pepper
Dagoman,1982,20th,Australian,"Northern Territory, Australia",NA,with the death of Martha Hart[117]
Dyugun,by 1982,20th,Australian,Western Australia,NA,[118]
Kato,by 1982,20th,Na-Dene > Athabaskan,"California, United States",NA,[119]
Dirari,after 1981,20th,Pama-Nyungan,South Australia,NA,[120]
Dyaberdyaber,after 1981,20th,Pama-Nyungan,Western Australia,NA,[121][122]
Erre,after 1981,20th,Australian,"Northern Territory, Australia",NA,[123]
Umbugarla,after 1981,20th,Arnhem Land languages orDarwin Region languages,"Northern Territory, Australia",NA,with the death of Butcher Knight
Yawarawarga,after 1981,20th,Pama-Nyungan,Queensland and South Australia,NA,[124]
Ternateño,ca. 1981,20th,Portuguese Creole,"Maluku, Indonesia",NA,[125]
Pitta Pitta,1 May 1981,20th,Pama-Nyungan,"Queensland, Australia",NA,with the deaths of Ivy Nardoo of Boulia[126]
Warrungu,1981,20th,Pama-Nyungan,"Queensland, Australia",NA,with the death of Alf Palmer[127][128]
Bina,by 1981,20th,Austronesian,Central Province (Papua New Guinea),NA,
Twana,1980,20th,Salishan,"Washington, United States",NA,[99][129]
Yalarnnga,1980,20th,Pama-Nyungan,Australia,NA,
Flinders Island,late 1970s - 1980s[122],20th,Pama-Nyungan,Australia,NA,last known speaker was Johnny Flinders[127]
Kwadi,between 1971 and 1981,20th,Khoe,southwestern Angola,NA,[130]
Chicomuceltec,1970s – 1980s,20th,Mayan,Mexico; Guatemala,NA,
Barranbinja,22 February 1979,20th,Pama-Nyungan,"New South Wales, Australia",NA,with the death of Emily Margaret Horneville
Shuadit,3 November 1977,20th,Romance,southern France,NA,with the death of Armand Lunel[99][131]
Ngawun,24 August 1977,20th,Pama-Nyungan,"Queensland, Australia",NA,with the death of Cherry O'Keefe[132]
Nooksack,13 July 1977,20th,Salishan,"Washington, United States",NA,with the death of Sindick Jimmy[99]
Nagumi,ca. 1977,20th,Niger-Congo > Benue-Congo,Cameroon,NA,[133]
Kw'adza,between 1976 and 1999,20th,Cushitic,Tanzania,NA,[134]
Muskum,after 1976,20th,Chadic,western Chad,NA,[135]
Yugh,1975,20th,Yeniseian,"central Siberia, Soviet Union",NA,[99][136]
Homa,before 1975,20th,Bantu,southern Sudan,NA,[137]
Manx,27 December 1974,20th,Celtic,"Isle of Man, British islands",NA,with the death of Ned Maddrell. Now being revived as a second language[138]
Ona,28 May 1974,20th,Chon,"Tierra del Fuego, Argentina",NA,with the death of Ángela Loij[notes 4]
Moksela,1974,20th,Malayo-Polynesian,"Maluku, Indonesia",NA,[139]
Cacaopera,before 1974,20th,Misumalpan,El Salvador,NA,[140]
Môa Remo,after 1973,20th,Panoan,"Along the Môa River of Amazonas, Peru",NA,A word list was created in 1973.
Dicamay Agta,By 1974,20th,Malayo-Polynesian,"Luzon, Philippines",NA,The Dicamay Agta were killed by Ilokano homesteaders sometime between 1957 and 1974.
Tillamook,9 October 1972,20th,Salishan,"Oregon, United States",NA,with the death of Minnie Scovell[99]
Hanis,5 February 1972,20th,Penutian,"Oregon, United States",NA,with the death of Martha Harney Johnson[141]
Mbabaram,1972,20th,Pama-Nyungan,"Queensland, Australia",NA,with the death of Albert Bennett[142]
Paratio,after 1968,20th,Xukuruan,"Pesqueira, Pernambuco, Brazil",NA,It was spoken by a few people in Pesqueira in 1968. Loukotka (1968)
Welsh-Romani,1968,20th,Romani,"Wales, United Kingdom",NA,with the death of Manfri Wood[143]
Sened,before 1968,20th,Berber,Tunisia,NA,
Barngarla,after 1965,20th,Pama-Nyungan,southern Australia,NA,with the death of Moonie Davis[144]
Barbareño,24 July 1965,20th,Chumashan,"California, United States",NA,with the death of Mary Yee[145][notes 5]
Wakawaka,1965,20th,Pama-Nyungan,"Queensland, Australia",NA,[146]
Aariya,ca. 1964,20th,spurious,India,NA,[147]
Galice,10 August 1963,20th,Na-Dene > Athabaskan,"Oregon, United States",NA,with the death of Hoxie Simmons
Upper Umpqua,10 January 1963,20th,Na-Dene > Athabaskan,"Oregon, United States",NA,with the death of Wolverton Orton
Jorá,1963,20th,Tupi,Bolivia,NA,[99]
Xukuru,after 1962,20th,Xukuruan,"Pernambuco and Paraíba, Brazil",NA,Known from a wordlist and sketch from  Geraldo Lapenda (1962).
Wiyot,1962,20th,Algic,"California, United States",NA,with the death of Delia Prince[148]
Wyandot,after 1961,20th,Iroquoian,"Oklahoma, United States; Quebec, Canada",NA,
Pankararú,after 1961,20th,unclassified,"Pernambuco, Alagoas, Brazil",NA,Only two people remembered the language in 1961.
Xocó,after 1961,20th,unclassified,"Sergipe, Alagoas, Brazil",NA,Only a few people remembered the language in 1961 It is not clear if this is a single language.
Northeastern Pomo,1961,20th,Pomoan(Hokan?),"California, United States",NA,
"Oriel dialect, Irish",1960,20th,Celtic,Ireland,NA,with the death of Annie O'Hanlon[149][150]
Siuslaw,1960,20th,Penutian,"Oregon, United States",NA,with the death of Mary Barrett Elliott. Last speaker of Lower Umpqua dialect was Billy Dick[141]
Pirlatapa,ca. 1960s,20th,Pama-Nyungan,South Australia,NA,[151]
Timor Pidgin,1960s,20th,Portuguese creole,East Timor,NA,[152]
Cuitlatec,1960s,20th,isolate,"Guerrero, Mexico",NA,with the death of Juana Can.[153]
Catawba,16 April 1959,20th,Siouan,"South Carolina, United States",NA,with the death of Chief Sam Blue[154]
Molala,22 September 1958,20th,Penutian,"Oregon, United States",NA,with the death of Fred Yelkes[141]
Salinan,1958,20th,isolate (Hokan?),"California, United States",NA,
Omurano,1958,20th,Zaparoan,Peru,NA,[99][155]
Natchez,25 March 1957,20th,isolate,"Mississippi, United States",NA,[156] with the death of Nancy Raven.[157] The Natchez people are attempting to revive this language.[158]
Aasáx,1952-1956,20th,Cushitic,Tanzania,NA,[159]
Wotapuri-Katarqalai,after 1955,20th,Indo-Aryan,Afghanistan,NA,[160]
Tây Bồi,after 1954,20th,French-based Pidgin,Vietnam,NA,[161][162]
Central Kalapuya,1954,20th,Kalapuyan,"Oregon, United States",NA,with the death of John B. Hudson[141]
Ifo,1954,20th,Malayo-Polynesian,"Erromanga Island, Vanuatu",NA,with the death of James Nalig[163]
Martha's Vineyard Sign Language,1952,20th,Sign language,"Massachusetts, United States",NA,with the death of Katie West
Alsea,1951,20th,Penutian,"Oregon, United States",NA,with the death of John Albert[141]
Bohemian Romani,ca. 1950,20th,mixed language,"Czechoslovakia, Central Europe",NA,"after World War II, due to extermination of most of its speakers in Nazi concentration camps."
Kaniet,1950,20th,Malayo-Polynesian,"Manus Province, Papua New Guinea",NA,[99][164]
Pijao,ca. 1950s,20th,unclassified,"Tolima Department, Colombia",NA,[165]
Ventureño,mid-20th century,20th,Chumashan,"California, United States",NA,
Kawishana,mid-20th century,20th,Arawakan,Brazil,NA,presumably extinct
Basay,mid-20th century,20th,Austronesian,Taiwan,NA,
Sidi,mid-20th century,20th,Bantu,Bantu,NA,"Kathiawar, India; also known as Habsi."
Slovincian,mid-20th century,20th,Slavic,"Pomerania, Poland",NA,
Southern Pame,mid-20th century,20th,Oto-Manguean,Southern Mexico,NA,
Kipea,mid-20th century,20th,Macro-Gê,Eastern Brazil,NA,
Dzubukua,mid-20th century,20th,Macro-Gê,"Pernambuco, Brazil",NA,
Tequiraca,mid-20th century,20th,Tequiraca–Canichana?,"Loreto, Peru",NA,
Tubar,around mid-20th century,20th,Uto-Aztecan,Northern Mexico,NA,
Chico,around mid-20th century?,20th,Maiduan,Central California,NA,
Kunza,after 1949,20th,unclassified,"Atacama Desert, Chile/Peru",NA,
Mikira,after 1949,20th,Cahuapanan,"Loreto, Peru",NA,A word list was made by Enrique Stanko Vráz in 1949.
Tunica,6 December 1948,20th,isolate,"Louisiana, United States",NA,with the death of Sesostrie Youchigant[166]
Gafat,after 1947,20th,Semitic,"along the Abbay River, Ethiopia",NA,[167]
Pentlatch,3 March 1940,20th,Salishan,"Vancouver Island, Canada",NA,with the death of Joe Nimnim[99]
Chitimacha,28 January 1940,20th,isolate,"Louisiana, United States",NA,with the death of Delphine Ducloux[168]
Eudeve,ca. 1940,20th,Uto-Aztecan,"Sonora, Mexico",NA,
Chemakum,ca. 1940s,20th,Chimakuan,"Washington, United States",NA,
Ossory dialect of Irish,ca. 1940s,20th,Celtic,"County Kilkenny, Ireland",NA,
Kitanemuk,ca. 1940s,20th,Uto-Aztecan,"California, United States",NA,"with the deaths of Marcelino Rivera, Isabella Gonzales, and Refugia Duran"
Rumsen,22 May 1939,20th,Penutian,"California, United States",NA,with the death of Isabel Meadows[169]
Miluk,9 May 1939,20th,Penutian,"Oregon, United States",NA,with the death of Annie Miner Peterson[170]
Judaeo-Piedmontese,by or after 1939,20th,Romance,Northwestern Italy,NA,
Northern Kalapuya,16 January 1937,20th,Kalapuyan,"Oregon, United States",NA,with the death of Louis Kenoyer
Yoncalla,1937,20th,Kalapuyan,"Oregon, United States",NA,with the death of Laura Blackery Albertson[171]
Narungga,1936,20th,Pama-Nyungan,"South Australia, Australia",NA,[172]
Biloxi,8 January 1935,20th,Siouan,"Louisiana, United States",NA,with the death of Emma Jackson[173]
Juaneño,1934,20th,Uto-Aztecan,"California, United States",NA,
Puelche,1934,20th,Chon,Argentina,NA,with the death of Trruúlmani
Takelma,1934,20th,isolate,"Oregon, United States",NA,with the death of Frances Johnson[174]
Gabrielino,1933,20th,Uto-Aztecan,"California, United States",NA,
Akar-Bale,between 1931 and 1951,20th,Andamanese,"Andaman Islands, India",NA,[175]
Aka-Kede,between 1931 and 1951,20th,Andamanese,"Andaman Islands, India",NA,[175]
A-Pucikwar,between 1931 and 1951,20th,Andamanese,"Andaman Islands, India",NA,[175]
Tonkawa,after 1931,20th,isolate,"Oklahoma/Texas/New Mexico, United States",NA,
Jaquirana Remo,after 1931,20th,Panoan,"Amazonas, Brazil",NA,A word list was made in 1931.
Tuxinawa,after 1931,20th,Panoan,"Acre, Brazil",NA,A word list was made in 1931.
Aka-Bea,by 1931,20th,Andamanese,"Andaman Islands, India",NA,[175]
Oko-Juwoi,by 1931,20th,Andamanese,"Andaman Islands, India",NA,[175]
Sensi,after 1930,20th,Panoan,"right bank of Ucayali River, Peru",NA,A word list was created by Günter Tessmann in 1930.
Mattole,ca. 1930,20th,Na-Dene > Athabaskan,"California, United States",NA,
Mutsun,29 January 1930,20th,Penutian,"California, United States",NA,with the death of Ascencion Solorsano
Cayuse,ca. 1930s,20th,isolate/unclassified,"Oregon, United States",NA,
Kathlamet,ca. 1930s,20th,Penutian,"Washington/Oregon, United States",NA,with the death of Charles Cultee[141]
Lower Chinook,ca. 1930s,20th,Penutian,"Washington/Oregon, United States",NA,
Mahican,ca. 1930s,20th,Algic > Algonquian,"New York, United States",NA,
Clackamas dialect of Upper Chinook,ca. 1930s,20th,Penutian,"Washington/Oregon, United States",NA,
Kitsai,ca. 1930s,20th,Caddoan,"Oklahoma, United States",NA,with the death of Kai Kai[176]
Tapachultec,ca. 1930s,20th,Mixe–Zoque,Southern Mexico,NA,
Kwalhioqua,before 1930s,20th,Na-Dene > Athabaskan,"Washington, United States",NA,
Opata language,by 1930,20th,Uto-Aztecan,Northern Mexico,NA,
Ajawa,between 1920 and 1940,20th,Chadic,"Bauchi State, Nigeria",NA,[177]
Kaurna,25 December 1929,20th,Pama-Nyungan,South Australia,NA,"with the death of Ivaritji,[178] now being revived"
Bear River,ca. 1929,20th,Na-Dene > Athabaskan,"California, USA",NA,
Ottoman Turkish,1928,20th,Turkic,Turkey,NA,Evolved into Turkish in 1928.
Tarauacá Kashinawa,after 1927,20th,Panoan,"Amazonas, Brazil",NA,A word list was made in 1927.
Blanco River Remo,after 1927,20th,Panoan,"Loreto Province, Peru",NA,A word list was made in 1927.
Subtiaba,after 1925,20th,Oto-Manguean or Subtiaba-Tlapanec,Nicaragua,NA,
Chimariko,January 1922,20th,isolate,"California, United States",NA,with the death of Sally Noble[179][180]
Chagatai,after 1921,20th,Turkic,Central Asia including Turkmenistan,NA,Chagtai is still studied in Uzbekistan and Turkey.[181]
Tataviam,30 June 1921,20th,Uto-Aztecan,"California, United States",NA,with the death of Juan José Fustero
Aka-Kol,by 1921,20th,Andamanese,"Andaman Islands, India",NA,[182]
Sinacantán,After 1920,20th,Xincan,"Santa Rosa, Guatemala",NA,A word list was created by Walther Lehmann in 1920.
Mochica,ca. 1920,20th,Chimuan,northwest Peru,NA,
Fergana Kipchak,ca. 1920s,20th,Turkic,Fergana Valley,NA,
Chochenyo,ca. 1920s,20th,Penutian,"California, United States",NA,
Island Carib,ca. 1920s,20th,Cariban,"Lesser Antilles, Caribbean Sea",NA,An offshoot survives as Garifuna.
Yupiltepeque,by 1920,20th,Xincan,Guatemala,NA,[183]
Pochutec,after 1917,20th,Uto-Aztecan,"Oaxaca, Mexico",NA,
Obispeño,15 June 1917,20th,Chumashan,"Southern California, United States",NA,with the death of Rosario Cooper[184]
Yahi,25 March 1916,20th,isolate (Hokan?),"California, United States",NA,with the death of Ishi[185][notes 6]
Yamhill dialect of Northern Kalapuya,1915,20th,Kalapuyan,"Oregon, United States",NA,
ǀXam,1910s,20th,Tuu,South Africa,NA,
Siraya,after 1908,20th,Austronesian,southwestern Taiwan,NA,[186]
